Year,Population,Index,Violent,Property,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
1998.00,18175000.00,652202.00,115915.00,536287.00,924.00,3843.00,49125.00,62023.00,104821.00,363295.00,68171.00
1999.00,18196601.00,596743.00,107147.00,489596.00,903.00,3563.00,43821.00,58860.00,93217.00,338118.00,58261.00
2000.00,18976457.00,588189.00,124890.00,483078.00,952.00,3530.00,40539.00,60090.00,87946.00,340901.00,54231.00
2001.00,19084350.00,556025.00,98022.00,458003.00,960.00,3546.00,36555.00,56961.00,80400.00,329316.00,48287.00
2002.00,19134293.00,537121.00,95030.00,442091.00,909.00,3885.00,36653.00,53583.00,76700.00,318025.00,47366.00
2003.00,19212425.00,521565.00,89486.00,432079.00,934.00,3775.00,35790.00,48987.00,75453.00,311422.00,45204.00
2004.00,19280727.00,507648.00,84914.00,422734.00,889.00,3608.00,33506.00,46911.00,70696.00,311036.00,41002.00
2005.00,19315721.00,491829.00,85839.00,405990.00,874.00,3636.00,35179.00,46150.00,68034.00,302220.00,35736.00
2006.00,19306183.00,482270.00,83966.00,396304.00,921.00,3169.00,34489.00,45387.00,68565.00,295605.00,32134.00
2007.00,19297729.00,461731.00,79915.00,381816.00,801.00,2926.00,31094.00,45094.00,64857.00,288929.00,28030.00
2008.00,19467789.00,466131.00,77546.00,388585.00,836.00,2799.00,31789.00,42122.00,65537.00,297952.00,25096.00
2009.00,19541453.00,452647.00,75110.00,377537.00,781.00,2582.00,28141.00,43606.00,62769.00,292897.00,21871.00
2010.00,19395206.00,456202.00,76492.00,379710.00,868.00,2797.00,28630.00,44197.00,65839.00,293232.00,20639.00
2011.00,19501616.00,449300.00,77463.00,371837.00,769.00,2751.00,28405.00,45538.00,65227.00,287361.00,19249.00
2012.00,19576125.00,454803.00,79535.00,375268.00,683.00,2837.00,28633.00,47382.00,64389.00,293562.00,17317.00
2013.00,19695680.00,436166.00,77563.00,358603.00,644.00,2575.00,27241.00,46130.00,56444.00,286676.00,15483.00
2014.00,19748858.00,415085.00,75972.00,339113.00,616.00,4316.00,24036.00,45295.00,50738.00,272624.00,15751.00
2015.00,19747183.00,392351.00,75126.00,317225.00,613.00,4414.00,23879.00,44493.00,44117.00,257837.00,15271.00
2016.00,19745289.00,379466.00,74285.00,305181.00,630.00,4569.00,22316.00,45079.00,39821.00,250968.00,14392.00
2017.00,19590719.00,364136.00,70746.00,293390.00,550.00,6297.00,20122.00,43777.00,34928.00,245093.00,13369.00
2018.00,19530351.00,350055.00,68512.00,281543.00,562.00,6577.00,18191.00,43182.00,31158.00,237243.00,13142.00
2019.00,19453561.00,336919.00,69764.00,267155.00,558.00,6583.00,18068.00,44555.00,27600.00,226851.00,12704.00
